Path in MiSTer, URL, Size in bytes (optional but recommended), MD5 Hash (optional but recommended), Filter Terms (optional)
games/mame/alien3.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/alien3.zip,10212851,655750570ba5291943b1d82ba84d6e26,
games/mame/appoooh.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/appoooh.zip,121145,d824adf438535a00ef4850e90bf6df1f,
games/mame/arabfgt.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/arabfgt.zip,9180295,ced2530f3f79c88727028ef5e1a1047a,
games/mame/archrivl.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/archrivl.zip,572014,26e497a949fb9b4ad8b8f804152111ed,
games/mame/arescue.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/arescue.zip,5235972,8047da908f7cea0d072236f2d0cb1587,
games/mame/blasted.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/blasted.zip,882570,1cb6c3b1b7543809df0438a89277a16d,
games/mame/bnzabros.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/bnzabros.zip,1392105,4f79272bb2b558b546d93ca2db7a1654,
games/mame/brickzn.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/brickzn.zip,1171912,f4b3de2de0c2c8ced4ea27fb2e911e30,
games/mame/brival.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/brival.zip,12176412,d39fd33f2d27e314041f1b60faa218e3,
games/mame/bucky.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/bucky.zip,7189925,7135d0c79bb4428cbc015bb3b1262888,
games/mame/cairblad.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/cairblad.zip,13533920,f6a7777922650c300c0a28ce8486c34b,
games/mame/crkdown.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/crkdown.zip,2562707,fe5a4ca14d3779edc6d31d0d69cf31dd,
games/mame/darkedge.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/darkedge.zip,7879230,1537451eb1348ce5c8f962b116fc5217,
games/mame/dbzvrvs.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/dbzvrvs.zip,8140032,c92ac93c71ac53125230f3264244c946,
games/mame/docastle.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/docastle.zip,108719,dc0e6a8a46aff4ca204d07ab50636359,
